reference,direction,shift_px,ssim,ssim_distance_d,predicted_jod
I01,down,83,0.1438945101675688,0.8561054898324312,3.057615801400531
I01,down,84,0.14072814814274934,0.8592718518572506,3.060481042315905
I01,down,85,0.12468701281961832,0.8753129871803816,3.0745308601110066
I01,down,86,0.11100399261171842,0.8889960073882816,3.085921196507087
I01,down,87,0.11673000447122989,0.8832699955287702,3.0812195010025194
I01,down,88,0.12222645550584207,0.8777735444941579,3.0766186870143883
I01,down,89,0.12115438984340898,0.878845610156591,3.0775228710625715
I01,down,90,0.12118819140774362,0.8788118085922564,3.0774944133222384
I01,down,91,0.11959583812318361,0.8804041618768164,3.078831455339972
I01,down,92,0.11650695967652118,0.8834930403234789,3.081404378535823
I01,down,93,0.11586985604588065,0.8841301439541194,3.0819316838129476
I01,down,94,0.12727828968006868,0.8727217103199313,3.072313040973059
I01,down,95,0.13723889429369526,0.8627611057063047,3.0636028986085053
I01,down,96,0.13331995804954308,0.8666800419504569,3.067065214941027
I01,down,97,0.12150861540166674,0.8784913845983333,3.077224482842257
I01,down,98,0.11517506497974606,0.8848249350202539,3.082505423658226
I01,down,99,0.11136036461070671,0.8886396353892932,3.085631262179052
I01,down,100,0.11317987180581703,0.886820128194183,3.0841454237914068
I02,right,1,0.7474608616941509,0.25253913830584906,1.503104194612595
I02,right,2,0.5706381184765419,0.4293618815234581,2.2335995763256804
I02,right,3,0.5582087484796718,0.44179125152032817,2.274617633806037
I02,right,4,0.5352887537712424,0.4647112462287576,2.346888594474902
I02,right,5,0.5172505915738983,0.4827494084261017,2.4007680051229014
I02,right,6,0.5039481636868228,0.4960518363131772,2.438854535105998
I02,right,7,0.4951086603981634,0.5048913396018366,2.463406088883583
I02,right,8,0.48618198203077223,0.5138180179692278,2.4875969266097764
I02,right,9,0.478223437214854,0.5217765627851461,2.5086609661957553
I02,right,10,0.4765677801427937,0.5234322198572063,2.512984079451173
I02,right,11,0.4714641654674648,0.5285358345325353,2.5261836069196946
I02,right,12,0.46400628940945887,0.5359937105905411,2.5451311977726956
I02,right,13,0.4589769882123364,0.5410230117876635,2.5576827945388345
I02,right,14,0.45654498845769537,0.5434550115423047,2.563687669118898
